industry,roles,timeline,risk_level,impact_type,tools,workforce_millions,source_name,source_url
Customer Service & Support,CSR;Call-Center Agent;Help-Desk Rep;Claims Intake;Tele-Collections,1-3 yr,High,Replacement of Tier-1 queries,OpenAI Assistants;Zendesk Intelligent Triage;Freshdesk Freddy;Five9 IVA;Google CCAI,2.86,BLS OEWS,https://www.bls.gov/oes/2023/may/oes434051.htm
Accounting & Bookkeeping,Bookkeeper;AP/AR Clerk;Payroll;Audit Associate;Controller,3-5 yr,High,Replacement of rote ledger work,Intuit Assist;MindBridge;Oracle Close;BlackLine AI;Docyt,1.6,BLS OOH,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
Legal Services,Paralegal;Discovery Analyst;Associate;Contract Manager;In-House Counsel,3-5 yr,High-Moderate,"Doc review high, advocacy lower",LawGeex;Kira Systems;Lexis+ AI;Harvey AI;Clearbrief,0.86,BLS OOH,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm
Software Development & QA,Programmer;Front-End Dev;QA Analyst;DevOps;SDET,3-5 yr,Moderate,Auto-code with human oversight,GitHub Copilot;AWS CodeWhisperer;Diffblue Cover;HashiCorp Ai/Code;Testim,1.7,BLS OOH,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm
Marketing & Advertising,Content Marketer;SEO Specialist;Performance Marketer;Copywriter;Brand Manager,1-4 yr,High,Augment → partial replace on copy/analysis,Jasper;SurferSEO;Copy.ai;Google Performance Max;AdCreative.ai,0.82,BLS OOH,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm
Graphic Design & Creative,Graphic Designer;Concept Artist;Motion Designer;Illustrator,1-4 yr,High,Generative replacement of first-draft assets,Adobe Firefly;Canva Magic Design;Midjourney;Runway Gen-2;Leonardo AI,0.27,BLS OOH,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm
Education & Tutoring,K-12 Teacher;Tutor;Curriculum Designer;Grader,5-10 yr,Moderate,Complementary adaptive content,Khanmigo;Quizlet Q-Chat;Gradescope AI;Knewton Alta,4.0,BLS OOH,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
HR & Recruiting,Recruiter;Sourcer;Comp Analyst;L&D Specialist;HR Generalist,3-6 yr,Moderate,Sourcing and JD drafting automated,Eightfold AI;Textio;LinkedIn Recruiter AI;HireVue;Recruitee AI,0.9,BLS OOH,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm
Sales (Inside/B2B),SDR;Account Exec;Sales Ops;CSM;RevOps Analyst,2-5 yr,Moderate,Automation of prospecting & first-touch,Salesforce Einstein;Gong AI;Zoom IQ;Outreach Kaia;HubSpot AI,13.0,BLS OEWS,https://www.bls.gov/oes/current/oes410000.htm
Manufacturing Production,Assembler;Machine Operator;Quality Inspector;Packing Tech,5-10 yr,Moderate,Physical cobots complement human line,Fanuc CRX;ABB GoFa;Universal Robots UR-20;Bright Machines,12.7,BLS OOH,https://www.bls.gov/ooh/production/home.htm
