id,industry,role,sub_role,main_workflow,subroutine,risk_level,ai_coverage,impact_type,tools,tool_urls
f1809d59,Product Mgmt,Product Manager,General,Automation,Alert noise reduction,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
b1521a2a,Product Mgmt,Product Manager,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
dba47cf0,Product Mgmt,Product Manager,General,Analysis,Sentiment analysis,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
3fe2bf3c,Product Mgmt,Product Manager,General,Analysis,Competitive benchmarking,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
2ae9357d,Product Mgmt,Product Manager,General,Analysis,Trend forecasting,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
b57b40ed,Product Mgmt,Product Manager,General,Creative,Concept art,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
167d07cb,Product Mgmt,Product Manager,General,Testing,Load test script,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
8f67485f,Product Mgmt,Product Manager,General,Testing,User-testing summary,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
7215672c,Product Mgmt,Product Owner,General,Automation,Invoice OCR,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
1cf0ed71,Product Mgmt,Product Owner,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
dc61c331,Product Mgmt,Product Owner,General,Analysis,Earnings call summary,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
c2757a19,Product Mgmt,Product Owner,General,Creative,Concept art,High,PA,Replaced,Jasper,https://jasper.ai
8eafdfa4,Product Mgmt,Product Owner,General,Testing,Load test script,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
115f09af,Product Mgmt,Product Owner,General,Testing,User-testing summary,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
